alpha,error
46.72090113,584.9297493
46.84480601,585.1888315
46.96871089,585.4484849
47.09261577,585.7087085
47.21652065,585.9695017
47.34042553,586.2308637
47.46433041,586.4927937
47.58823529,586.755291
47.71214018,587.0183548
47.83604506,587.2819844
47.95994994,587.5461789
48.08385482,587.8109377
48.2077597,588.07626
48.33166458,588.3421449
48.45556946,588.6085918
48.57947434,588.8755998
48.70337922,589.1431683
48.82728411,589.4112965
48.95118899,589.6799835
49.07509387,589.9492286
49.19899875,590.2190311
49.32290363,590.4893902
49.44680851,590.7603052
49.57071339,591.0317752
49.69461827,591.3037995
49.81852315,591.5763773
49.94242804,591.8495079
50.06633292,592.1231906
50.1902378,592.3974244
50.31414268,592.6722088
50.43804756,592.9475428
50.56195244,593.2234259
50.68585732,593.4998571
50.8097622,593.7768357
50.93366708,594.0543609
51.05757196,594.3324321
51.18147685,594.6110484
51.30538173,594.890209
51.42928661,595.1699132
51.55319149,595.4501602
51.67709637,595.7309493
51.80100125,596.0122797
51.92490613,596.2941506
52.04881101,596.5765613
52.17271589,596.8595109
52.29662078,597.1429988
52.42052566,597.4270242
52.54443054,597.7115862
52.66833542,597.9966841
52.7922403,598.2823173
52.91614518,598.5684848
53.04005006,598.8551859
53.16395494,599.1424199
53.28785982,599.430186
53.41176471,599.7184834
53.53566959,600.0073114
53.65957447,600.2966692
53.78347935,600.5865561
53.90738423,600.8769711
54.03128911,601.1679137
54.15519399,601.4593831
54.27909887,601.7513784
54.40300375,602.0438989
54.52690864,602.3369438
54.65081352,602.6305124
54.7747184,602.924604
54.89862328,603.2192176
55.02252816,603.5143527
55.14643304,603.8100084
55.27033792,604.1061839
55.3942428,604.4028785
55.51814768,604.7000914
55.64205257,604.9978219
55.76595745,605.2960692
55.88986233,605.5948325
56.01376721,605.8941111
56.13767209,606.1939042
56.26157697,606.4942111
56.38548185,606.7950309
56.50938673,607.0963629
56.63329161,607.3982064
56.7571965,607.7005606
56.88110138,608.0034247
57.00500626,608.306798
57.12891114,608.6106797
57.25281602,608.915069
57.3767209,609.2199653
57.50062578,609.5253676
57.62453066,609.8312753
57.74843554,610.1376876
57.87234043,610.4446038
57.99624531,610.7520231
58.12015019,611.0599446
58.24405507,611.3683678
58.36795995,611.6772917
58.49186483,611.9867157
58.61576971,612.296639
58.73967459,612.6070609
58.86357947,612.9179805
